rank,variant,weighted_population,share,langs_count
1,А,2266918.961985,0.1289447783,52
2,Н,1165137.932706,0.0662742934,52
3,Р,1069946.215163,0.0608596866,52
4,И,978007.069119,0.0556300895,51
5,Л,974098.641486,0.0554077739,52
6,Е,971418.320391,0.0552553144,52
7,Т,831181.098838,0.0472784711,52
8,Ы,667977.289470,0.0379952636,45
9,У,646760.146321,0.0367884098,52
10,К,615992.211124,0.0350382967,52
11,О,610867.344932,0.0347467888,52
12,Д,579785.941518,0.0329788453,52
13,С,559365.788407,0.0318173251,52
14,М,530565.568373,0.0301791377,52
15,Ә,437047.854645,0.0248597500,6
16,Б,422552.175577,0.0240352203,52
17,Г,361372.929036,0.0205552792,52
18,Ш,301203.695619,0.0171327888,52
19,В,284164.454433,0.0161635785,52
20,Й,277350.249159,0.0157759792,51
21,Х,249866.031635,0.0142126475,52
22,П,248379.073495,0.0141280677,52
23,З,245436.276283,0.0139606782,52
24,Э,202261.609107,0.0115048569,49
25,Ч,198750.460225,0.0113051390,51
26,Я,172805.750980,0.0098293762,49
27,Ү,106028.054794,0.0060309893,10
28,Ц,98046.150320,0.0055769700,49
29,Ь,97234.756790,0.0055308171,47
30,Ө,85551.407029,0.0048662557,10
31,Ң,77354.239946,0.0043999920,9
32,Ӕ,75530.111424,0.0042962336,1
33,Ж,71367.834702,0.0040594789,52
34,Ф,63958.358921,0.0036380200,51
35,І,62317.201325,0.0035446691,9
36,ХЬ,61885.502828,0.0035201137,15
37,Һ,55817.571237,0.0031749632,8
38,Ю,45509.235794,0.0025886141,49
39,КЪ,43882.383813,0.0024960770,16
40,Ӑ,39264.149066,0.0022333868,1
41,Ӗ,38167.356477,0.0021710001,1
42,Ҡ,37158.070886,0.0021135909,2
43,Ғ,35441.003281,0.0020159222,7
44,ГЪ,35123.020975,0.0019978350,15
45,ГЬ,33934.523770,0.0019302321,11
46,Ҙ,33409.492867,0.0019003677,1
47,ЛЪ,29627.449747,0.0016852411,6
48,Ъ,28646.064990,0.0016294189,45
49,Ҫ,27746.863062,0.0015782713,2
50,Җ,27140.120655,0.0015437591,4
51,АЬ,24647.672633,0.0014019860,6
52,КХ,23246.496997,0.0013222856,2
53,Щ,20927.511644,0.0011903793,45
54,Ӧ,20798.423877,0.0011830366,8
55,Қ,20176.301485,0.0011476496,5
56,ХЪ,18916.928538,0.0010760152,13
57,Ӏ,18104.942278,0.0010298285,9
58,ГӀ,17954.112955,0.0010212492,6
59,УЬ,16275.130701,0.0009257469,6
60,ХӀ,15292.714864,0.0008698660,6
61,КӀ,14445.059046,0.0008216504,11
62,КЬ,14384.085545,0.0008181822,11
63,ТӀ,14086.518044,0.0008012562,13
64,Ё,12924.622862,0.0007351664,40
65,ОЬ,10805.139078,0.0006146079,3
66,Ӹ,9339.305214,0.0005312297,2
67,Ҳ,9043.739673,0.0005144176,4
68,КІ,8918.912815,0.0005073173,2
69,ЦӀ,8126.678750,0.0004622542,12
70,Ў,7944.360352,0.0004518837,3
71,ЧӀ,7249.950657,0.0004123850,11
72,Ӓ,6614.433226,0.0003762360,2
73,Ӱ,6192.167883,0.0003522171,5
74,ЩӀ,5976.612679,0.0003399561,1
75,Ї,5600.571183,0.0003185665,1
76,Ҥ,5551.828700,0.0003157940,4
77,ПӀ,5324.884168,0.0003028851,11
78,Ӥ,3826.605935,0.0002176614,1
79,НЪ,3225.016404,0.0001834424,2
80,Ҕ,3186.235332,0.0001812365,1
81,СС,3036.736891,0.0001727328,1
82,Є,2861.106345,0.0001627428,1
83,ЖЬ,2711.334210,0.0001542236,2
84,Ӳ,2449.359120,0.0001393222,1
85,Ұ,2353.217936,0.0001338536,1
86,Ҷ,2341.771259,0.0001332025,2
87,Ӣ,1968.375066,0.0001119633,1
88,ДЬ,1808.457916,0.0001028670,1
89,ЛӀ,1634.244316,0.0000929576,4
90,ТТ,1587.854438,0.0000903189,2
91,ЯЬ,1340.489069,0.0000762485,2
92,ДЖ,1331.991944,0.0000757651,4
93,ФӀ,1215.275697,0.0000691262,1
94,Ӯ,1188.766517,0.0000676183,1
95,ЧІ,978.088181,0.0000556347,1
96,Ј,943.732062,0.0000536805,2
97,Ӟ,917.764650,0.0000522034,1
98,Ӵ,834.239340,0.0000474524,1
99,ХІ,806.508043,0.0000458750,1
100,Ӈ,803.503665,0.0000457041,2
101,ТІ,717.807179,0.0000408296,1
102,ЮЬ,713.983067,0.0000406121,1
103,ШӀ,712.640892,0.0000405358,1
104,КК,710.740525,0.0000404277,3
105,НЬ,605.965601,0.0000344680,1
106,ХХ,598.051155,0.0000340178,2
107,ШЪ,554.040559,0.0000315144,1
108,ЦІ,533.682473,0.0000303564,1
109,Ѣ,510.252163,0.0000290237,1
110,ᵸ,347.565278,0.0000197699,1
111,Ґ,318.884867,0.0000181385,2
112,ЧЧ,284.422534,0.0000161783,3
113,Ӝ,276.468034,0.0000157258,1
114,А̄,257.586450,0.0000146518,1
115,ПП,221.358842,0.0000125911,2
116,АӀ,204.173564,0.0000116136,1
117,ЦЦ,181.682457,0.0000103343,2
118,ХЬХЬ,173.771055,0.0000098843,1
119,ЫӀ,146.609211,0.0000083393,1
120,Е̄,128.793226,0.0000073259,1
121,ЖЪ,127.082386,0.0000072286,1
122,Ӌ,89.207097,0.0000050742,1
123,УӀ,80.949870,0.0000046045,1
124,Ӂ,74.953959,0.0000042635,1
125,Ҭ,65.459854,0.0000037234,1
126,О̄,59.985886,0.0000034121,1
127,Ԥ,55.855514,0.0000031771,1
128,Ҵ,41.318603,0.0000023502,1
129,Ҟ,41.188862,0.0000023429,1
130,Ӡ,30.940856,0.0000017599,1
131,Ҩ,28.773799,0.0000016367,1
132,Ҿ,18.689134,0.0000010631,1
133,ПІ,12.619682,0.0000007178,1
134,Ӷ,10.305669,0.0000005862,1
135,Ҽ,9.179344,0.0000005221,1
136,Џ,7.723846,0.0000004393,1
137,Ѳ,6.224494,0.0000003541,1
138,ДЗ,4.497215,0.0000002558,1
139,ЛЛЪ,3.528582,0.0000002007,1
140,ЛЬ,0.167939,0.0000000096,1
141,Ѵ,0.075115,0.0000000043,1
